time,value
1920,40.6
1920.083333,40.8
1920.166667,44.4
1920.25,46.7
1920.333333,54.1
1920.416667,58.5
1920.5,57.7
1920.583333,56.4
1920.666667,54.3
1920.75,50.5
1920.833333,42.9
1920.916667,39.8
1921,44.2
1921.083333,39.8
1921.166667,45.1
1921.25,47
1921.333333,54.1
1921.416667,58.7
1921.5,66.3
1921.583333,59.9
1921.666667,57
1921.75,54.2
1921.833333,39.7
1921.916667,42.8
1922,37.5
1922.083333,38.7
1922.166667,39.5
1922.25,42.1
1922.333333,55.7
1922.416667,57.8
1922.5,56.8
1922.583333,54.3
1922.666667,54.3
1922.75,47.1
1922.833333,41.8
1922.916667,41.7
1923,41.8
1923.083333,40.1
1923.166667,42.9
1923.25,45.8
1923.333333,49.2
1923.416667,52.7
1923.5,64.2
1923.583333,59.6
1923.666667,54.4
1923.75,49.2
1923.833333,36.3
1923.916667,37.6
1924,39.3
1924.083333,37.5
1924.166667,38.3
1924.25,45.5
1924.333333,53.2
1924.416667,57.7
1924.5,60.8
1924.583333,58.2
1924.666667,56.4
1924.75,49.8
1924.833333,44.4
1924.916667,43.6
1925,40
1925.083333,40.5
1925.166667,40.8
1925.25,45.1
1925.333333,53.8
1925.416667,59.4
1925.5,63.5
1925.583333,61
1925.666667,53
1925.75,50
1925.833333,38.1
1925.916667,36.3
1926,39.2
1926.083333,43.4
1926.166667,43.4
1926.25,48.9
1926.333333,50.6
1926.416667,56.8
1926.5,62.5
1926.583333,62
1926.666667,57.5
1926.75,46.7
1926.833333,41.6
1926.916667,39.8
1927,39.4
1927.083333,38.5
1927.166667,45.3
1927.25,47.1
1927.333333,51.7
1927.416667,55
1927.5,60.4
1927.583333,60.5
1927.666667,54.7
1927.75,50.3
1927.833333,42.3
1927.916667,35.2
1928,40.8
1928.083333,41.1
1928.166667,42.8
1928.25,47.3
